순번,등록번호,제호,기관명,상태,종별,간별,성격,유형,발행목적,발행내용,보급방법,보급지역,선택지역,상세지역,유무가,보급대상,사용언어,발행소명,발행소 주소,인쇄소명,복수여부,등록일자,제출일자
24484,아00788,슈퍼아이콘 타임즈,경북,등록,인터넷신문,인터넷신문,총류,법인,"AI시대를 위한 인터넷 기사 제공을 통한 보다 나은 삶, 보다 나은 세상을 만드는데 기여함","라이프, 비즈니스, AI, 교육 등 인터넷 기사 서비스 제공",,전국,,,무가,일반인,,주식회사 슈퍼아이콘(김재광),"경북 포항시 남구 청암로 87 (지곡동, 체인지업 그라운드) 511호",,단건,2024-05-14,2024-05-10
24483,아00789,신경북뉴스,경북,등록,인터넷신문,인터넷신문,총류,법인,"전국의 정치, 시사, 경제, 사회, 문화, 체육, 사건 및 사고 등을 보도하고 잘못된 사항을 시정, 비평, 논평, 평론하고 주민 여론을 수렴하여 공공기관 및 사회전반의 감시와 부정을 뿌리뽑는데 그 중점을 두고 시정이나 부정이 발견시 공공기관에 수사의뢰 또는 고발 조치하고 특히 사회 전반에 대해 생활정보를 보급한다. 대한민국 헌법 제2장 국민의 알 권리 확보에 앞장서고 헌법 제21조 언론출판의 자유를 수호하고, 형법 제310조가 제시하는 진실한 사실로써 오로지 공공의 이익을 위한 보도에 그 목적이 있다.",상기 발행목적에 부합함,,전국,,,무가,,,주식회사 경북신문사,경상북도 안동시 송현3길 12-5 (송현동),,단건,2024-05-14,2024-05-10
24482,아55429,신중년중앙회신문,서울,등록,인터넷신문,인터넷신문,총류,법인,신중년중앙회의 기관지 역할 및 회원간 정보소통을 위한 장을 제공,"신중년중앙회의 일자리, 창업지원, 건강증진, 홍보 및 인터넷뉴스",,전국,,,무가,신중년층,,한국신중년중앙회,"서울 종로구 율곡로 160, 2층 (원남동, 원남동우체국)",,단건,2024-05-14,2024-05-14
24481,아55430,아카데미도원,서울,등록,인터넷신문,인터넷신문,총류,개인,필라테스 및 명리학 종사자들의 알권리 진작 및 마케팅에 필요한 유용한 뉴스 콘텐츠 및 교육콘텐츠를 제공하고 관련 산업 전반에 대한 이슈를 점검하고 대안제시와 함께 동반성장하는 인프라 구축에 기여하고자 함,상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,회원 및 건강 정보를 필요로 하는 지역주민,,임기영(아카데미도원),"서울 강남구 테헤란로4길 40, 7층 (역삼동, 신소애빌딩)",,단건,2024-05-14,2024-05-14
24480,라00628,월간잡담,마포,등록,잡지,월간,문화,개인,"다양한 이야기를 공유하고 기고, 발표하는 활동을 통한 소통의 장 확대","상기 발행목적에 부합되는 내용을 10면 이상 ~ 100면 이내로 게재, 인쇄, 제책하여 배포함, 분야무관(종합지 성격)",,전국,,,유가,,,이유승(씨케이씨케이),"서울 마포구 월드컵북로 481 (상암동, 상암 오벨리스크 2차)",(주)타라티피에스 그래픽스사업부문,단건,2024-05-14,2024-05-03
24479,아00791,인사이드경북,경북,등록,인터넷신문,인터넷신문,총류,개인,경북 주민들에게 지역 중심의 뉴스를 신속 정확하게 전달하고 사실에 대한 논평과 상호 논의를 하고자 함,"정치, 경제, 사회, 문화예술 등의 인터넷 뉴스 기재",,지역,경북,경상북도,무가,경상북도민,,인사이드경북(장현정),"경북 포항시 북구 중흥로125번길 14 (죽도동, 새천년빌), 301호",,단건,2024-05-14,2024-05-13
24478,아54055,전국도시형소공인연합뉴스,경기,등록,인터넷신문,인터넷신문,총류,개인,"전국에 소재하는 소공인 경영과 관련한 지원 및 진흥, 육성과 관련하여 다양한 정보를 신속하고 정확하게 보도하므로써 국민들의 알권리를 충족시키고자 함",발행목적에 부합하는 정보를 인터넷기사를 통하여 배포,,전국,,,무가,,,김영흥,경기 화성시 팔탄면 구장리 868,,단건,2024-05-14,2024-05-09
24477,아00491,제이타임즈,대구,등록,인터넷신문,인터넷신문,총류,개인,"월드뷰티, 정치, 경제, 사회, 문화, 시사 등에 관한 보도, 논평 및 여론 등을 전파하기 위하여 간행하는 전자간행물","월드뷰티, 정치, 경제, 사회, 문화, 시사 등에 관한 보도, 논평 및 여론, 정보 등",,전국,,,무가,일반국민,,장영아,대구 수성구 세진로 11 (범어동) 1층,,단건,2024-05-14,2024-05-08
24476,아55428,SCF CHANNEL KOREA,서울,등록,인터넷신문,인터넷신문,총류,법인,"본지는 인터넷신문으로써 4차산업혁명 시대를 맞이해 AI, 블록체인을 활용한 정보를 공유하며, 한국음식의 우수성을 널리 알리고 로컬푸드의 소비촉진을 장려하며, 바른 언론으로써 국민의 알권리 실천과 사회발전에 기여하고자 함을 목적으로 한다.","상기 발행 목적에 부합되는 내용만을 게재함 (디지털, 맛집/멋집, 특산품, Event, People, 문화, 핫이슈 등)",,전국,,,무가,네티즌,,"에스씨에프채널코리아 주식회사(SCF CHANNEL KOREA Co., Ltd.)","서울 구로구 디지털로32가길 16, 1404호 (구로동, 파트너스타워2차)",,단건,2024-05-13,2024-05-13
24475,아55427,미용일보,서울,등록,인터넷신문,인터넷신문,총류,개인,"월드뷰티, 정치, 경제, 사회, 문화, 시사 등에 관한 보도, 논평 및 여론 등을 전파하기 위하여 진행하는 전자간행물","월드뷰티, 정치, 경제, 사회, 문화, 시사 등에 관한 보도, 논평 및 여론, 정보 등",,전국,,,무가,일반국민,,최영미(미용일보),"서울 서초구 방배동 925-24, 2층",,단건,2024-05-13,2024-05-13
24474,사00081,우주문학,마포,등록,기타간행물,연2회간,문학,개인,문학작품을 통해 세계에 알린다,문학작품 등 30page(a4),,전국,,,유가,,,진영서,"서울 마포구 백범로 239, 103동 104호 (신공덕동, 신공덕e편한세상)",해당없음,단건,2024-05-13,2024-04-30
24473,아00503,지에스뉴스,광주,등록,인터넷신문,인터넷신문,총류,법인,"밝은 공동체 구현, 지역발전 선도, 행복한 삶 추구","정치, 사회, 경제, 문화, 체육 등",,전국,,,무가,,,(주)지에스뉴스,"광주광역시 광산구 풍영철길로 15, 417호 (우산동, 콜럼버스웨팅홀)",,단건,2024-05-13,2024-05-02
24472,아54049,요가흐름뉴스,경기,등록,인터넷신문,인터넷신문,총류,개인,"각종 경제, 문화, 시사, 정책 등의 정보를 제공하고 홍보하고자 함",상기 발행목적에 부합되는 내용을 게재함,,전국,,,무가,,,전진아(요가흐름뉴스),"경기 과천시 별양로 12 (원문동, 래미안 슈르). 제상가 3081호",,단건,2024-05-10,2024-05-10
24471,다01339,정보매거진청사초롱,대전,등록,특수주간신문,주간,총류,단체,"대전 홍보 및 숨겨진 선행, 나눔, 미담 등 예쁜 소식을 전하기 위함","아름다운 선행, 나눔, 미담 등 소식",,전국,,,무가,전국민,,대전사랑 대전향우회,"대전 중구 보문산공원로 514, 2층 (대사동)",필성인쇄소,단건,2024-05-10,2024-05-07
24470,바00028,날,청주,등록,잡지,계간,철학,단체,"인간이 소외되고 잉여화 되는 시대에 쓰고, 읽고, 말하는 인간 고유의 지적 유희를 증진하는 것을 목적으로 하는 인문학적 읽을거리를 제공하려 함.","인문학적, 철학적 주제에서 파생하는 여러 종류의 이야기. 5x7판, 200쪽 내외.",,전국,,,유가,후원자 및 유료 독자,,저널리즘센터 미디어 날,"충북 청주시 흥덕구 가로수로1154번길 21-4 (강서동), 2층",영진프린팅,단건,2024-05-09,2024-04-30
