순번,등록번호,제호,기관명,상태,종별,간별,성격,유형,발행목적,발행내용,보급방법,보급지역,선택지역,상세지역,유무가,보급대상,사용언어,발행소명,발행소 주소,인쇄소명,복수여부,등록일자,제출일자
27087,아54593,MM스토리,경기,등록,인터넷신문,인터넷신문,총류,개인,"건강, 교육, 문화, 생활, 스포츠, 경제 등에 관한 유용한 정보의 제공",상기 발행목적을 내용으로 함,,전국,,,무가,,,이다영(MM스토리),"경기 하남시 미사강변동로 79 (망월동, 미사역타워), 804~805호",,단건,2025-11-04,2025-11-03
27086,아00534,대구배움일보,대구,등록,인터넷신문,인터넷신문,총류,개인,투명하고 신속한 정보를 공유하고 지속 가능한 미디어 생태계를 구축한다.,"사고, 사건, 허위 과장 정보 바로잡고 지역 밀착 서비스형 기사를 제공한다.",,전국,,,무가,,,이원선,"대구 남구 앞산순환로87길 8, 104동 B1 101호 (대명동)",,단건,2025-11-04,2025-10-29
27085,사00007,스마트팜,남동,등록,기타간행물,연2회간,유통정보,개인,ICT장비에 관한 정보 및 시설정보 알림,ICT장비에 관한 정보 및 시설정보 알림,,전국,,,무가,,,스마트팜,인천 남동구 청능대로389번길 47 (고잔동),(주)대유기획인쇄,단건,2025-11-04,2025-10-15
27084,사00009,스마트팩토리,남동,등록,기타간행물,연2회간,유통정보,개인,공장 스마트 장비에 관한 정보 및 설치정보 알림,공장 스마트 장비에 관한 정보 및 설치정보 알림,,전국,,,무가,,,스마트팩토리,인천 남동구 청능대로389번길 47 (고잔동),(주)대유기획인쇄,단건,2025-11-04,2025-10-17
27083,사00008,스마트홈,남동,등록,기타간행물,연2회간,유통정보,개인,ICT 장비 및 설치 정보 알림,ICT 장비 및 설치 정보 알림,,전국,,,무가,,,스마트홈,인천 남동구 청능대로389번길 47 (고잔동),(주)대유기획인쇄,단건,2025-11-04,2025-10-17
27082,아00870,CSR BRIEFING,경북,등록,인터넷신문,인터넷신문,총류,개인,기업의 사회적 책임과 ESG 분야에 관한 국내외 다양한 정보를 전문적인 분석을 제공하여 건전한 발전과 독자의 올바른 이해를 돕는 것을 목적으로 함,"국내외 기업의 CSR, ESG 관련 국내외 주요 뉴스",,전국,,,무가,CSR 중소기업 및 ESG 담당자,,CSR BRIEFING,"경북 포항시 북구 우창동로 113 (우현동, 우현지구 도나우타운), 102동 2103호",,단건,2025-11-03,2025-10-27
27081,아00871,IMPACT JOURNAL,경북,등록,인터넷신문,인터넷신문,총류,개인,"국내외 정치, 경제, 사회 등 전 분야에 걸쳐 국민의 알 권리를 충족시키고, 건전한 여론형성과 민주주의 발전에 기여하며, 특히 사회적 가치 증진과 관련된 공익적 정보를 제공함을 목적으로 함","정치, 경제, 사회, 문화, 국제 등 국내외 주요 뉴스, 사회적 경제 및 비영리 분야 관련 동향 보도",,전국,,,무가,NGO 및 사회적기업 실무자,,IMPACT JOURNAL,"경북 포항시 북구 우창동로 113 (우현동, 우현지구 도나우타운), 102동 2103호",,단건,2025-11-03,2025-10-27
27080,아00869,NEIGHBOR NEWS,경북,등록,인터넷신문,인터넷신문,총류,개인,"우리 사회 다양한 소식을 신속하고 정확하게 전달하여 지역사회 발전과 공동체 활성화에 기여하며, 시민들의 삶에 도움이 되는 정보를 제공하여 국민의 복리 증진에 이바지함을 목적으로 함","시민들의 삶에 영향을 미치는 국내외 주요 뉴스, 지역사회 소식 및 사회적 경제, 비영리 분야 관련 동향 보도",,전국,,,무가,지역 사회적기업 및 커뮤니티,,NEIGHBOR NEWS,"경북 포항시 북구 우창동로 113 (우현동, 우현지구 도나우타운), 102동 2103호",,단건,2025-11-03,2025-10-27
27079,아54591,YPR,경기,등록,인터넷신문,인터넷신문,총류,개인,1) 부천 지역 전반의 소식전달과 다양한 분석을 통해 독자의 알권리를 실현하기 위함 2) 청소년 분야의 다양한 정보 및 지식 제공을 통해 바른 언론으로서의 가치를 추구 3) 부천 지역 및 전국의 다양한 분야의 소식 전달을 통해 지역사회 발전에 기여,"1) 정치, 경제, 사회, 문화, 스포츠 등 해당분야에 관련한 소식 2) 청소년, 스포츠, e스포츠 분야 등에 관련한 모든 정보와 뉴스 3) 상기 발행 목적에 해당하는 다양한 뉴스와 정보",,전국,,,무가,,,임주영,"경기 부천시 원미구 조마루로 135 (중동, 포도마을), 813동 1101호",,단건,2025-11-03,2025-10-28
27078,아00868,뉴스매니아,경북,등록,인터넷신문,인터넷신문,총류,개인,"정치, 경제, 사회, 문화 등 광범위한 분야의 뉴스, 분석, 다양한 콘텐츠를 신속하게 제공, 공공의 이익에 영향을 미치는 정보를 발굴하고 보도, 사실을 정확하고 객관적으로 전달하며, 다양한 관점 공정하게 보도","공공의 이익에 영향을 미치는 정보와 사실을 정확하고 객관적으로 전달하며, 다양한 관점 공정한 기사를 제공",,전국,,,무가,국민,,뉴스매니아,경북 영주시 대학로240번길 15-8 (가흥동),,단건,2025-11-03,2025-10-27
27077,바00002,발견,횡성,등록,잡지,계간,시,개인,시전문 잡지의 복간을 위함,시와 시비평 및 논문,,전국,,,유가,문인 및 문인 지망생 독자,,발견,"강원특별자치도 횡성군 둔내면 우용로97번길 44 (우용리), 512동",월드지앤피 주식회사,단건,2025-11-03,2025-11-03
27076,아01194,북트립,제주,등록,인터넷신문,인터넷신문,총류,개인,"본 신문은 독서문화 확산과 문학예술 진흥을 통해 국민의 문화적 소양을 높이고, 제주지역의 관광자원과 문화콘텐츠를 널리 알려 지역경제 활성화에 기여하며, 출판산업과 교육 분야의 정보를 제공하여 사회 발전에 이바지함을 목적으로 한다.","1. 문학: 국내외 신간도서 소개, 작가 인터뷰, 문학행사, 출판동향 2. 관광: 제주도 관광정보, 여행가이드, 지역축제, 문화유산 탐방 3. 교육: 독서교육, 평생교육, 교육정책, 입시정보 4. 문화: 문화예술 행사, 전시회, 공연정보, 문화정책 5. 기타: 사회공익활동, 지역경제, 환경보전 관련 소식",,전국,,,무가,네티즌,,황준연,"제주특별자치도 제주시 광양9길 27 (이도이동), 202 작가의 집",,단건,2025-11-03,2025-10-22
27075,아54590,아인필라미디어,경기,등록,인터넷신문,인터넷신문,총류,개인,"운동, 필라테스, 건강에 대한 정보공유",상기 발행 목적에 부합되는 내용 및 기타 관련 뉴스를 게재함,,전국,,,무가,,,윤태철(아인필라미디어),"경기 김포시 고촌읍 태리로 293 (신곡리), 5층 501호",,단건,2025-11-03,2025-10-28
27074,다50839,연희문고,서울,등록,일반주간신문,주간,총류,법인,"경제, 사회 , 문화, 산업, 인물 등 사회 전 분야에 대한 보도 및 논평, 여론 등을 전달함","경제, 사회, 문화, 산업, 인물 등 사회 전 분야에 대한 보도 및 논평, 여론 등을 전달함",,전국,,,유가,,,유한책임회사 연희문고,"서울 동대문구 천호대로89길 9, 3층 일부 (장안동, 장안생활)",한국학술정보(주),단건,2025-11-03,2025-10-22
27073,아54592,테라포스트,경기,등록,인터넷신문,인터넷신문,총류,개인,자연과 사람의 연결을 통해 지속가능한 삶과 지역순환경제를 확산시키는 것,"자연, 여행, 생태, 지역경제, 사회이슈 등 자연에 기반한 심층 기사 발행",,전국,,,무가,,,오혜미(테라포스트),"경기 화성시 병점중앙로 83 (병점동), 104호",,단건,2025-11-03,2025-10-29
27072,아54589,대한민국학원신문,경기,등록,인터넷신문,인터넷신문,총류,개인,학원을 대상으로 하는 다양한 정보 및 지식 제공을 통해 바른 언론으로서의 가치 추구 학원으로 정보 전달과 다양한 분석을 통해 학부모 독자의 알권리를 실현하기 위함 국내의 다양한 분야의 소식 전달을 통해 사회 발전에 기여,"상기 발행 목적에 해당하는 다양한 뉴스와 정보 국내외 주요 정보와 뉴스 교육과 연관된 정치,사회,문화 등 해당 분야에 관련한 소식",,전국,,,무가,,,조정인(대한민국 교육신문),"경기 구리시 건원대로 36, 902-1-9 (인창동, 화성골드프라자)",,단건,2025-11-01,2025-10-31
27071,아54588,온유 회천2호뉴스,경기,등록,인터넷신문,인터넷신문,총류,법인,"각종 경제, 문화, 시사, 정책 등의 정보를 제공하고 홍보하고자 함",상기 발행목적에 부합되는 내용을 게재함,,전국,,,무가,,,주식회사 퍼스트,"경기 양주시 덕계로5길 81-5 (덕계동), 301호",,단건,2025-11-01,2025-10-31
27070,아54587,의정부인재개발교육,경기,등록,인터넷신문,인터넷신문,총류,개인,누구나 배울 수 있는 학습 환경 조성에 기여,모든 세대가 삶 속에서 배우고 소통할 수 있는 콘텐츠 제공,,전국,,,유가,,,박진웅(의정부인재개발교육),"경기 의정부시 신흥로240번길 18 (의정부동, 상록빌딩) 5층",,단건,2025-11-01,2025-10-29
27069,아56208,firstdotglobal,서울,등록,인터넷신문,인터넷신문,신문,법인,"국내외 핵심 이슈를 신속, 정확하게 전해 한국과 세계를 연결하고 알 권리와 건강한 공론장에 기여한다",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,네티즌,,(주)고블린콘텐츠앤엔터테인먼트,"서울 영등포구 국회대로 786, 11층 (여의도동, B&B타워)",,단건,2025-10-31,2025-10-31
27068,아00543,대전미디어,대전,등록,인터넷신문,인터넷신문,총류,법인,"영어로 된 국내외 사회, 문화, 정치, 경제 등의 소식을 국민에게 신속히 전함","국내외 사회, 문화, 정치, 경제 등의 소식",,전국,,,무가,네티즌,,주식회사 컬컴대전은행점,"대전 중구 대종로 487 (대흥동, 아이원빌딩), 5층",,단건,2025-10-30,2025-10-29
27067,다00007,부동산공감,김해,등록,정보간행물,주간,생활정보,법인,자동차 매매/부동산 임대 등 광고 홍보,"A4 사이즈 책자 형식, 20면",,전국,,,유가,,,주식회사 코리아대승,경남 김해시 칠산로459번길 25 (흥동),주식회사 노넘시스템,단건,2025-10-30,2025-10-13
27066,아54585,비즈포커스(Biz Focus),경기,등록,인터넷신문,인터넷신문,총류,개인,"소상공인, 중소기업인들의 홍보를 돕고 사업에 도움이 되고자 합니다.","경제, 경영, CEO칼럼 등",,전국,,,무가,,,김수미(비즈포커스),"경기 성남시 수정구 성남대로1390번길 9 (복정동), 301호",,단건,2025-10-30,2025-10-24
27065,아54584,윤슬타임즈,경기,등록,인터넷신문,인터넷신문,총류,개인,"각종 경제, 문화, 시사, 정책 등의 정보를 제공하고 홍보하고자 함",상기 발행목적에 부합되는 내용을 게재함,,전국,,,무가,,,박동원(윤슬타임즈),"경기 화성시 효행로 287 (기안동, 보보스프라자), 212호",,단건,2025-10-30,2025-10-24
27064,아00540,일간충청,대전,등록,인터넷신문,인터넷신문,총류,개인,"충청지역 정치, 행정, 사회, 문화, 교육, 스포츠 등 분야의 다양한 정보 등을 제공해 바른 여론 형성을 하도록 언론으로서 충실한 역할로 지역사회 발전에 기여를 하고자 함.",상기 발행목적에 합당하는 다양한 뉴스와 정보제공,,전국,,,무가,인터넷 사용자,,이기출,"대전 대덕구 계족로663번길 29 (법동, 주공아파트) 203동 409호",,단건,2025-10-30,2025-10-29
27063,아00541,자이로토닉 채움뉴스,대전,등록,인터넷신문,인터넷신문,총류,개인,"각종 경제, 문화, 시사, 정책 등의 정보를 제공하고 홍보하고자 함",상기 발행목적에 부합되는 내용을 게재함,,전국,,,무가,인터넷신문,,서채영,대전 유성구 상대복용로29번길 9-18 (상대동) 601호,,단건,2025-10-30,2025-10-15
27062,아00542,포즈앤코어 타임즈,대전,등록,인터넷신문,인터넷신문,총류,법인,"필라테스/바레 정보, 평생교육원 운영정보 및 각종 시사, 공공정책 정보 제공의 목적",상기 발행 목적에 부합되는 내용을 게재함,,전국,,,무가,인터넷 사용자,,주식회사 포즈앤코어,"대전 서구 둔지로 13 (둔산동, 트라이얼스타) 501호/502호",,단건,2025-10-30,2025-10-16
27061,아54586,프런트라인프레스,경기,등록,인터넷신문,인터넷신문,총류,법인,"영어로 된 국내외 사회, 문화, 정치, 경제 등의 소식을 국민에게 신속히 전함","국내외 사회, 문화, 정치, 경제 등의 소식",,전국,,,무가,,,주식회사 컬컴위례,"경기 성남시 수정구 위례광장로 320 (창곡동, 아이에스센트럴타워), 1108호",,단건,2025-10-30,2025-10-27
27060,아00563,나우미디어,광주,등록,인터넷신문,인터넷신문,총류,법인,"영어로 된 국내외 사회, 문화, 정치, 경제 등의 소식을 국민에게 신속히 전함.","국내외 사회, 문화, 정치, 경제 등의 소식",,전국,,,무가,,,(주)컬컴광주점,"광주광역시 서구 상무번영로 37, 3층  (치평동, 나우빌딩)",,단건,2025-10-29,2025-10-28
27059,사00102,노후소식,강서,등록,전자간행물,연2회간,총류,개인,"독자 회원들에게 관련 뉴스, 정보, 트렌드 등을 연2회간 전자간행물(PDF) 4면이상 발행 보급함","관련 뉴스, 정보, 트렌드 등",,전국,,,무가,,,최학현,"서울 강서구 마곡중앙6로 21 528호(B01) (마곡동, 이너매스마곡Ⅰ)",,단건,2025-10-29,2025-10-24
27058,사00101,노후타임즈,강서,등록,전자간행물,연2회간,총류,개인,"독자 회원들에게 관련 뉴스, 정보, 트렌드 등을 연2회간 전자간행물(PDF) 4면이상 발행 보급함","관련 뉴스, 정보, 트렌드 등",,전국,,,무가,,,최학현,"서울 강서구 마곡중앙6로 21 528호(B01) (마곡동, 이너매스마곡Ⅰ)",,단건,2025-10-29,2025-10-24
27057,아00596,목포신문,전남,등록,인터넷신문,인터넷신문,총류,개인,시도민 및 출향우들에게 다양한 지역소식 전달,"지역소식 중심의 정치, 문화, 교육, 사회 등",,전국,,,무가,,,목포신문,"전남 목포시 양을로 240 (용해동, 법무사김기춘사무소) 2층",,단건,2025-10-29,2025-10-27
27056,아00653,뷰티샤(BeautySHA) 매거진,부산,등록,인터넷신문,인터넷신문,총류,개인,"피부미용, 반영구업계 종사자, 회원들의 알권리 진작에 필요한 뉴스 콘텐츠 및 교육 윤리의식 함양 등에 필요한 정보 제공",상기 발행목적에 부합되는 내용만을 게재함,,전국,,,무가,회원 및 관련 정보를 필요로 하는 지역주민,,정연서,"부산 해운대구 해운대로 724, 205호~206호(중동, 해운대에스에이치타워)",,단건,2025-10-29,2025-10-27
27055,아56206,비즈리더스,서울,등록,인터넷신문,인터넷신문,신문,법인,"국내외 기업, 경영분야 소식을 누구나 읽기 쉬운 콘텐츠로 제작 및 공유",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,일반국민,,루미투스 주식회사,"서울 강남구 강남대로 464, 3층 325호 (역삼동, 비제바노)",,단건,2025-10-29,2025-10-28
27054,아56207,세리필라테스 위클리,서울,등록,인터넷신문,인터넷신문,신문,법인,"필라테스, 생활체육, 건강, 문화생활 등에 관한 유용한 정보와 최신 뉴스의 제공",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,네티즌,,주식회사 세리필라테스,"서울 송파구 송파대로28길 27, 102동 204호, 205호, 206호 (가락동, 송파 성원상떼빌)",,단건,2025-10-29,2025-10-28
27053,사00099,시니어리포트,강서,등록,전자간행물,연2회간,총류,개인,"독자 회원들에게 관련 뉴스, 정보, 트렌드 등을 연2회간 전자간행물(PDF) 4면이상 발행 보급함","관련 뉴스, 정보, 트렌드 등",,전국,,,무가,,,최학현,"서울 강서구 마곡중앙6로 21 528호(B01) (마곡동, 이너매스마곡Ⅰ)",,단건,2025-10-29,2025-10-24
27052,사00100,시니어인포,강서,등록,전자간행물,연2회간,총류,개인,"독자 회원들에게 관련 뉴스, 정보, 트렌드 등을 연2회간 전자간행물(PDF) 4면이상 발행 보급함","관련 뉴스, 정보, 트렌드 등",,전국,,,무가,,,최학현,"서울 강서구 마곡중앙6로 21 528호(B01) (마곡동, 이너매스마곡Ⅰ)",,단건,2025-10-29,2025-10-24
27051,아02706,이루다에듀,경남,등록,인터넷신문,인터넷신문,총류,법인,국민을 대상으로 새롭고 생동감 있는 교육소재를 전해 대한민국의 교육발전에 기여하고자 함,상기 발행 내용에 부합하는 내용,,전국,,,유가,전국민(네티즌),,주식회사 이룸스포츠,"경남 창원시 성산구 원이대로 320, E동 203호 (대원동, 더시티세븐)",,단건,2025-10-29,2025-10-16
27050,아00595,인사이드전남,전남,등록,인터넷신문,인터넷신문,총류,법인,국민의 알권리를 위해 발빠르게 정보를 제공하고자 하는 목적,국민의 알권리를 위해 발빠르게 정보를 제공,,전국,,,무가,일반국민,,스키앤레저,전남 영광군 군서면 함영로6길 21 (보라리),,단건,2025-10-29,2025-10-27
27049,아00630,e스포츠news,충남,등록,인터넷신문,인터넷신문,총류,법인,e스포츠 발전과 지역경제 정보 등을 게재하여 전국민의 알권리 증진과 삶의 질 개선에 기여하고 지역경제를 활성화하고자 함,e스포츠의 활성화와 e스포츠의 확대,,전국,,,무가,충남도민 / 시군민 / 전국민 / 네티즌 등,,주식회사 엘미디어,"충남 천안시 동남구 원성16길 11-1 (원성동), 2층",,단건,2025-10-28,2025-10-22
27048,사01022,매거진 술,제주,등록,잡지,연2회간,총류,개인,Magazine SOOL 매거진 술은 한국술을 경험하는 새로운 방법입니다. 우리술을 이해하고 탐구하고 기록합니다.,"112페이지, 컬러인쇄, 우리술 입문서",,전국,,,유가,전통주 입문자,,하민주,제주특별자치도 서귀포시 일주서로 1262 (상예동),(주)청산인쇄,단건,2025-10-28,2025-10-16
27047,마00063,매일성경 새번역,송파,등록,정보간행물,격월간,기독교,법인,성경에 관한 내용을 해설하여 성도들로 하여금 성경을 쉽게 깨달을 수 있도록 함,성경해설,,지역,,,유가,,,(사)한국성서유니온선교회,서울특별시 송파구  오금로22길 13(송파동),(주)재원프린팅,단건,2025-10-28,2025-10-23
27046,아56205,디지바이브,서울,등록,인터넷신문,인터넷신문,총류,개인,체명악기인 핸드팬 연주 문화 확산과 예술교육 활성화를 위한 정보 제공 및 평생교육 촉진,"핸드팬 공연, 교육 소식, 악기 제작 및 연주법, 문화예술인 인터뷰, 평생교육 프로그램 음악, 문화, 교육 관련 다양하고 유익한 정보를 다룸",,전국,,,무가,일반국민,,조현,"서울 강남구 논현로 134, 4층 402호 (도곡동, 연산MS)",,단건,2025-10-27,2025-10-27
27045,아56204,멜로밍 뉴스,서울,등록,인터넷신문,인터넷신문,신문,개인,"멜로밍 뉴스는 라이브 스트리밍, 버추얼 엔터테이너 등 라이브 기반 크리에이터 생태계를 전문적으로 다루며 크리에이터와 메타버스 기업, 플랫폼의 소식과 크리에이터 관련 시장 동향을 전달하려 합니다.",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,일반국민,,조현우,"서울 송파구 가락로 114, 603호 (석촌동, 신우빌딩)",,단건,2025-10-27,2025-10-27
27044,아54583,벨리온뷰 뉴스,경기,등록,인터넷신문,인터넷신문,총류,개인,"경기도 내 정치, 경제, 사회, 문화 정보 제공을 기본으로, 미용을 중심으로 한 전문적인 문화뉴스를 제공한다.",상동,,전국,,,무가,,,권미정(벨리온뷰 뉴스),"경기 안양시 동안구 부림로 156 (관양동, 안양법조타운), 제4층 401호",,단건,2025-10-27,2025-10-22
27043,아54582,심플소잉NCC 매거진,경기,등록,인터넷신문,인터넷신문,총류,개인,"공예, 공방 교육 종사자, 회원들의 알권리 진작에 필요한 뉴스 콘텐츠 및 교육 콘텐츠를 제공하여 일상생활의 삶의 질을 향상하고자 함",상기 발행목적에 부합되는 내용만을 게재함,,전국,,,무가,,,황윤정(심플소잉NCC 매거진),"경기 용인시 수지구 대지로 58 (죽전동, 선진포리스트), 110호",,단건,2025-10-27,2025-10-22
27042,아00866,앵커On(앵커온),경북,등록,인터넷신문,인터넷신문,총류,개인,경북도정과 대구시정의 발전을 견인하는 언론지향,"""앵커On""은 경북대구의 소식을 기반으로 사실을 넘어 분석을 더하는 기자수첩, 칼럼, 사설, 논평, 현장르포 등을 보도(영상포함)합니다.",,전국,,,무가,"경북도민, 대구시민",,앵커On(앵커온),경북 경산시 남천면 대명길17길 19 (대명리),,단건,2025-10-27,2025-10-24
27041,아00376,언니네 가경뉴스,충북,등록,인터넷신문,인터넷신문,기타,법인,"각종 경제, 문화, 시사, 정책 등의 정보를 제공하고 홍보하고자 함.",상기 발행목적에 부합되는 내용을 게재함.,,전국,,,무가,,,주식회사 언니네필라테스,충북 청주시 흥덕구 강서로 118 (강서동) 201~202호,,단건,2025-10-27,2025-10-21
27040,아00651,언니네 사직뉴스,부산,등록,인터넷신문,인터넷신문,총류,법인,"각종 경제, 문화, 시사, 정책 등의 정보를 제공하고 홍보하고자 함",상기 발행목적에 부합되는 내용을 게재함,,전국,,,무가,네티즌,,(주)언니네필라테스,"부산 동래구 사직북로 4, 705호(사직동, 삼정자이언츠파크)",,단건,2025-10-27,2025-10-22
27039,아00375,언니네 율량뉴스,충북,등록,인터넷신문,인터넷신문,기타,법인,"각종 경제, 문화, 시사, 정책 등의 정보를 제공하고 홍보하고자 함.",상기 발행목적에 부합되는 내용을 게재함.,,전국,,,무가,,,주식회사 언니네필라테스,"충북 청주시 청원구 충청대로 175 (주중동), 6층",,단건,2025-10-27,2025-10-21
27038,아00865,경산매일,경북,등록,인터넷신문,인터넷신문,총류,법인,"정치, 경제, 사회, 문화, 교육, 레저 등에 관한 보도, 논평 및 여론전달을 통해 지역사회의 발전을 도모코저 발행합니다.",발행목적에 부합되는 내용을 인터넷으로 정보전달 및 발행,,전국,,,무가,보급지역 시도민,,경산교차로 주식회사,"경북 경산시 압량읍 압독2로2길 3 (신대리), 2층",,단건,2025-10-24,2025-10-22
27037,다01558,경산일보,경북,등록,일반주간신문,주간,총류,법인,"정치, 경제, 사회, 문화, 교육, 레저 등에 관한 보도, 논평 및 여론전달을 통해 지역사회의 발전을 도모코저 발행합니다.",발행목적에 부합되는 내용을 신문대판 12~24면 내외로 발행,,전국,,,유가,보급지역 시도민,,경산교차로 주식회사,"경북 경산시 압량읍 압독2로2길 3 (신대리), 2층",(주)주영테크,단건,2025-10-24,2025-10-22
27036,아00864,경상매일방송,경북,등록,인터넷신문,인터넷신문,총류,법인,"우리 사회의 다양한 현안을 신속하고 정확하게 보도하며, 독자들에게 균형 잡힌 정보와 깊이 있는 분석을 제공함으로써 건전한 여론 형성과 지역사회 발전에 기여한다. 또한 인터넷 기반의 빠른 전달력을 활용하여 국민 누구나 쉽게 접근할 수 있는 열린 소통의 장을 마련하고자 함","정치, 경제, 사회, 문화 등 주요 현안에 대한 심층 보도 지역 사회의 이슈와 생활 정보 제공 공공 정책과 사회 변화에 대한 분석 및 대안 제시 독자 참여형 콘텐츠(칼럼, 기고, 인터뷰 등) 운영 디지털 시대에 맞는 멀티미디어 콘텐츠(영상, 카드뉴스 등) 제작",,전국,,,무가,네티즌,,경상매일방송 주식회사,"경북 포항시 북구 불종로28번길 2 (대흥동), 1층",,단건,2025-10-24,2025-10-20
27035,아00533,뉴스112,대구,등록,인터넷신문,인터넷신문,총류,개인,"탐정 업계 및 협회 종사자, 회원들의 알권리 진작에 필요한 뉴스 콘텐츠 및 교육 윤리 의식 함양등에 필요한 정보 제공",상기 발행목적에 부합되는 내용만을 기재함,,전국,,,무가,회원 및 관련 정보를 필요로 하는 지역주민,,이동엽,"대구 달성군 화원읍 비슬로 2679, 상가동 102호 (구라리, 한우아파트)",,단건,2025-10-24,2025-10-22
27034,마00127,인향人香,종로,등록,잡지,격월간,문화,법인,"향기와 운치, 정직함과 빛나는 인품을 가진 사람을 발굴해 밝고 아름다운 사회를 만들고자 함",4*6배판 (257x188) 100면,,전국,,,유가,,,(주)대한뉴스,"서울 종로구 종로5길 38-1, 301-A호(청진동, 청일빌딩)",(주)명진씨앤피,단건,2025-10-24,2025-10-24
27033,아56202,마켓프리즘,서울,등록,인터넷신문,인터넷신문,신문,개인,국내외 인공지능 비롯 테크 스타트업과 가상자산 시장에 대한 정확한 정보를 제공하여 시장의 발전과 성장에 기여,상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,네티즌,,이소연,"서울 성동구 성수일로8길 5, A동 6층 607호 (성수동2가, 서울숲 SK V1 TOWER)",,단건,2025-10-23,2025-10-23
27032,아01193,제주프레스,제주,등록,인터넷신문,인터넷신문,총류,개인,제주의 진심을 전하는 사람 중심미디어(진심/정의/제주/현장/사람),"제주프레스는 제주의 사람, 제주의 정의, 제주의 미래를 기록합니다.",,전국,,,무가,,,선보배,"제주특별자치도 제주시 오래물길 19 (도두일동), 305",,단건,2025-10-23,2025-10-14
27031,아56201,최면심리통합신문,서울,등록,인터넷신문,인터넷신문,신문,개인,"최면심리와 양자물리학적 치유법을 통해 트라우마, 조현병 등 정신건강 회복을 지원하고 내면아이 치유와 잠재의식 활용법을 제공하여 국민 정신건강 증진에 기여",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,네티즌,,천은주,"서울 서초구 서초중앙로5길 10-8, 401호 (서초동, 쁘띠오피스텔)",,단건,2025-10-23,2025-10-23
27030,아56203,프리미엄 필라테스 온도 여의도 2호점,서울,등록,인터넷신문,인터넷신문,신문,법인,"전 국민의 평생학습권 보장과 지속가능한 학습사회 실현을 위한 정보 제공 및 담론 형성을 목적으로 창간되었으며, 생애 전 주기에 걸친 다양한 학습 기회를 소개하고 평생교육 관련 정책, 제도, 현장의 목소리를 전달함으로써 모든 국민이 언제, 어디서나, 누구나 배울 수 있는 학습 환경 조성에 기여한다","평생교육을 비롯한 교육, 문화, 복지, 진로, 지역사회, 디지털 정보 등 다양한 분야의 소식을 심층적으로 다루며, 모든 세대가 삶 속에서 배우고 소통할 수 있는 콘텐츠를 제공한다",,전국,,,유가,네티즌,,(주)로더,"서울 영등포구 국제금융로 78, 5층 501,509호 (여의도동, 홍우빌딩)",,단건,2025-10-23,2025-10-23
27029,아02704,플랫폼경제신문,경남,등록,인터넷신문,인터넷신문,총류,개인,"경제, 사회, 지역, 플랫폼경제, 환경, 정보기업, 사회전반의 다양한 소식을 전하는 것을 목적으로 함.","경제, 사회, 지역, 플랫폼경제, 환경, 정보기업, 사회 전반의 다양한 소식",,전국,,,무가,전국민,,윤진영,"경남 김해시 진영읍 장등로 55, 109동 1007호 (진영리, 중흥에스클래스1단지아파트)",,단건,2025-10-23,2025-10-15
27028,라00046,NEW월간시니어,천안,등록,전자간행물,월간,문화일반,개인,"국민의 알권리와 공익보도 언론주권실현, 언론인의 자질향상과 권익보호에 앞장서고 민주주의 발전과 공정한 사회가 되도록, 매월 정기적으로 전국을 대표하는 월간지를 만들고자 그 목적으로 한다.",5*7배판의 변형인 275*209를 포지포함 150페이지(칼라),,전국,,,유가,,,김만성,"충남 천안시 동남구 목천읍 신계1길 41, 상가동 4층409호 2호실",명인문화사,단건,2025-10-22,2025-10-14
27027,아54576,경기리뷰,경기,등록,인터넷신문,인터넷신문,총류,개인,"언론 본연의 역할 수행, 정보제공, 홍보활동","정치, 경제, 사회, 문화 등에 관한 보도 논평 및 정보 뉴스 제공",,전국,,,무가,,,박찬혁(경기리뷰),경기 안성시 보개면 하남길 34-24 (남풍리),,단건,2025-10-22,2025-10-20
27026,아00629,뉴스케이충청,충남,등록,인터넷신문,인터넷신문,총류,개인,"뉴스케이충청 인터넷신문은 충남·충북 및 대전 지역의 올바른 여론을 형성하고 건전한 지역사회의 발전에 기여함을 목적으로 합니다. 또한 독자들에게 신뢰할 수 있는 정보를 제공하고, 공정하고 균형 잡힌 보도를 통해 지역민의 알 권리를 보장하며, 나아가 지역사회의 소통과 화합을 도모합니다.","① 충남·충북 및 대전 지역의 경제·사회·문화·교육 등 각 분야에 관한 보도 ② 지역민의 생활과 밀접한 실시간 뉴스 및 현장 기사 제공 ③ 지역 현안 및 발전 전략에 대한 분석, 심층 인터뷰, 정책 제언 ④ 생활 정보, 오피니언, 칼럼, 기획 특집 기사 등 독자 친화적 콘텐츠 제공 ⑤ 건전한 여론 형성을 위한 토론의 장 마련과 독자 참여형 콘텐츠 운영",,지역,,,무가,"충남, 충북, 대전 거주민",,이회윤,충남 예산군 예산읍 벚꽃로578번길 49-11 (간양리),,단건,2025-10-22,2025-10-14
